username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
matanda0507,I’ve never been asked to participate in a “poll”🤬,United States,533,177,1630,2011-09-13 06:51:37,2020-07-16 12:17:38,0,"Weird! I think it’s odd that a lot of these #Anarchists that are tearing down statues &amp; sucker punching cops, look a lot like the tiki torch carrying #nazis that showed up in #Charlottesville 🤔","[{'text': 'Anarchists', 'indices': [44, 55]}, {'text': 'nazis', 'indices': [154, 160]}, {'text': 'Charlottesville', 'indices': [179, 195]}]"
tmj_VAC_gensci,"Follow this account for geo-targeted General Scientific job tweets in Charlottesville, VA. Need help? Tweet us at @CareerArc!","Charlottesville, VA",234,268,49,2011-04-28 23:42:02,2020-07-16 12:08:23,0,"Riverside Research is hiring in #Charlottesville, VA! Read about our latest #GeneralScience job opening via the link in our bio: Image Scientist (SAR focus)","[{'text': 'Charlottesville', 'indices': [32, 48]}, {'text': 'GeneralScience', 'indices': [76, 91]}]"
5Monuments,Virginia jobs will soon be moving South just like our Daddy’s jobs fled the Democrat Northeast.,Dixie Land,81,349,20330,2009-06-07 20:54:39,2020-07-16 10:38:11,0,@NBC12 More Virginia Democrat orchestrated deaths. #terrymcauliffe #charlottesville #riots #antifa #blm #LevarStoneyMentor #PatternOfDestruction,"[{'text': 'terrymcauliffe', 'indices': [51, 66]}, {'text': 'charlottesville', 'indices': [67, 83]}, {'text': 'riots', 'indices': [84, 90]}, {'text': 'antifa', 'indices': [91, 98]}, {'text': 'blm', 'indices': [99, 103]}, {'text': 'LevarStoneyMentor', 'indices': [104, 122]}, {'text': 'PatternOfDestruction', 'indices': [123, 144]}]"
WXReese,"Weekday morning meteorologist for CBS19 in Charlottesville, VA! I'm also a big fan of Florida State, the Pittsburgh Steelers and weather of all types!","Charlottesville, VA",1818,2285,36975,2012-11-19 12:31:44,2020-07-16 10:23:13,0,"Your running/walking/cycling forecast is good to go this morning. However, as has been the case the past several weeks, heat, humidity, and an isolated shower or storm has us in the ""fair"" category this afternoon. #vawx #Charlottesville https://t.co/m2gG7iXlv8","[{'text': 'vawx', 'indices': [214, 219]}, {'text': 'Charlottesville', 'indices': [220, 236]}]"
underdone5,🏳️‍🌈Born & Raised on the Oregon Coast — 🐘🐆🐪🐈🐕🐇🐿🦏🦓🦍🐎🐖🐏🐒,Portland OR.         ,617,636,14737,2012-09-03 07:54:27,2020-07-16 07:39:47,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
WXReese,"Weekday morning meteorologist for CBS19 in Charlottesville, VA! I'm also a big fan of Florida State, the Pittsburgh Steelers and weather of all types!","Charlottesville, VA",1818,2285,36975,2012-11-19 12:31:44,2020-07-16 07:00:45,0,"Showers have bubbled up in the past 45 minutes and are heading northeast. Nothing severe and not much, if any, lightning associated with them. #vawx #Charlottesville https://t.co/M6mjx8TzjM","[{'text': 'vawx', 'indices': [143, 148]}, {'text': 'Charlottesville', 'indices': [149, 165]}]"
Toronto_Bot,I don't understand Toronto.,,1,352,87565,2016-10-24 22:08:19,2020-07-16 03:52:06,1,"#FaithGoldy: The Attention-Seeking #FarRight Mouthpiece

#Racism #Politics #Government #WhiteSupremacy #Charlottesville #news #politics #government #TorontoMayor #toronto #topoli #dougford #onpoli #cdnpoli #fordnation #ontario #canada #conservatives
https://t.co/fCcHMMeeYr","[{'text': 'FaithGoldy', 'indices': [18, 29]}, {'text': 'FarRight', 'indices': [53, 62]}, {'text': 'Racism', 'indices': [75, 82]}, {'text': 'Politics', 'indices': [83, 92]}, {'text': 'Government', 'indices': [93, 104]}, {'text': 'WhiteSupremacy', 'indices': [105, 120]}, {'text': 'Charlottesville', 'indices': [121, 137]}]"
chrisoldcorn,"An investigative journalist holding people, companies, and governments accountable. 🇨🇦 🇬🇧 🇺🇲 #sault #saultnews #onpoli #cdnpoli #uspoli @saultonline",,4914,3452,143427,2007-09-21 18:02:13,2020-07-16 03:51:16,1,"#FaithGoldy: The Attention-Seeking #FarRight Mouthpiece

#Racism #Politics #Government #WhiteSupremacy #Charlottesville #news #politics #government #TorontoMayor #toronto #topoli #dougford #onpoli #cdnpoli #fordnation #ontario #canada #conservatives
https://t.co/fCcHMMeeYr","[{'text': 'FaithGoldy', 'indices': [0, 11]}, {'text': 'FarRight', 'indices': [35, 44]}, {'text': 'Racism', 'indices': [57, 64]}, {'text': 'Politics', 'indices': [65, 74]}, {'text': 'Government', 'indices': [75, 86]}, {'text': 'WhiteSupremacy', 'indices': [87, 102]}, {'text': 'Charlottesville', 'indices': [103, 119]}, {'text': 'news', 'indices': [120, 125]}, {'text': 'politics', 'indices': [126, 135]}, {'text': 'government', 'indices': [136, 147]}, {'text': 'TorontoMayor', 'indices': [148, 161]}, {'text': 'toronto', 'indices': [162, 170]}, {'text': 'topoli', 'indices': [171, 178]}, {'text': 'dougford', 'indices': [179, 188]}, {'text': 'onpoli', 'indices': [189, 196]}, {'text': 'cdnpoli', 'indices': [197, 205]}, {'text': 'fordnation', 'indices': [206, 217]}, {'text': 'ontario', 'indices': [218, 226]}, {'text': 'canada', 'indices': [227, 234]}, {'text': 'conservatives', 'indices': [235, 249]}]"
LFC_CVILLE,"LFC CVILLE is the Official Liverpool Supporters Club in Charlottesville, VA USA. Join us on game days at Random Row Brewing Co.! Email:contact@lfccville.com","Charlottesville, VA",282,357,884,2017-08-22 01:44:45,2020-07-16 03:43:00,0,"The match wasn't our best, but the support was, as usual, top notch! #charlottesvilleva #charlottesville #virginia #olsc #liverpool #liverpoolfc #lfc #ynwa #myplmorning #epl #premierleague #champions @RandomRowBeer https://t.co/UchR1IBtmY","[{'text': 'charlottesvilleva', 'indices': [69, 87]}, {'text': 'charlottesville', 'indices': [88, 104]}, {'text': 'virginia', 'indices': [105, 114]}, {'text': 'olsc', 'indices': [115, 120]}, {'text': 'liverpool', 'indices': [121, 131]}, {'text': 'liverpoolfc', 'indices': [132, 144]}, {'text': 'lfc', 'indices': [145, 149]}, {'text': 'ynwa', 'indices': [150, 155]}, {'text': 'myplmorning', 'indices': [156, 168]}, {'text': 'epl', 'indices': [169, 173]}, {'text': 'premierleague', 'indices': [174, 188]}, {'text': 'champions', 'indices': [189, 199]}]"
a2doghome,adopts dogs from local shelters love God U.S.A grandkids my dogs hate big govmt am gun lover love/support r troops love this country or get OUT & STAY OUT#MAGA,Nv,1212,2357,112126,2009-07-28 20:43:14,2020-07-16 03:17:42,2,"#Charlottesville 

 Former KKK wizard David Duke  explains the hate rally ""fulfills the promises of Donald Trump."" https://t.co/Kdp0d9CzX5","[{'text': 'Charlottesville', 'indices': [17, 33]}]"
gbyehuda,"Innovation and social media professional, writer, poet, engaged citizen. Likes: tech, data, DC, privacy, mhealth, food. Views are my own.","Washington, DC",1931,2381,5020,2008-07-30 15:02:02,2020-07-16 01:39:01,1,"We don't just ""pass as white,"" we enjoy many aspects of #WhitePrivilege. Yes, yes #Charlottesville. Yes, yes, #Pittsburgh. Yes, yes #JewsWillNotReplaceUs. Anti-semitism is a real problem in U.S. and around the world. Now let's arrest the police who killed #BreonnaTaylor.","[{'text': 'WhitePrivilege', 'indices': [56, 71]}, {'text': 'Charlottesville', 'indices': [82, 98]}, {'text': 'Pittsburgh', 'indices': [110, 121]}, {'text': 'JewsWillNotReplaceUs', 'indices': [132, 153]}, {'text': 'BreonnaTaylor', 'indices': [256, 270]}]"
monab4justice,TRUE BLUE💙 in Orange Co NY Vegan🌱Voice for the Voiceless Humans Animals and the Planet until the day I die #Biden2020#VoteBlue#TrumpIsATraitor🌊🌊🌊NoDm,"New York, USA",4251,4233,40794,2018-02-25 14:39:32,2020-07-16 01:37:35,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MeetingBella,Professional Girlfriend. Bourbon enthusiast. Football fan. #P411 P238851,Worldwide,1152,1234,1565,2018-04-06 22:25:03,2020-07-16 00:39:50,1,"Catch Bekka next week.            #Roanoke
July 20 10a-10p
July 21 8a-11a

#Charlottesville
July 21 4p-10p
July 22 10a-10p

#Lynchburg
July 23 10a-10p
July 24 8a-11a https://t.co/17hT48affE","[{'text': 'Roanoke', 'indices': [55, 63]}, {'text': 'Charlottesville', 'indices': [96, 112]}]"
Blue57_Simson,"@blue57_ Scout/Analyst/Writer.
@thesubwayalum contributor. Scouting power 5 High School prospects from FL➡GA➡AL➡SC➡NC➡TN➡TX➡VA➡MD","Salem, OR",184,73,917,2020-04-03 01:44:10,2020-07-15 23:51:52,24,"#Virginia Gets #BostonCollege Commit to Flip....2021 ATH @JonasSanker from The Covenant School #Charlottesville #Virginia… 

@UVACoachBronco @Blaire99 @coachbuttsUVA #GoHoos #TheStandard #THEStandard21

Best Intel wins!
#Blue57 is #SmarterScouting https://t.co/oR6MXydJcd","[{'text': 'Virginia', 'indices': [13, 22]}, {'text': 'BostonCollege', 'indices': [28, 42]}, {'text': 'Charlottesville', 'indices': [108, 124]}, {'text': 'Virginia', 'indices': [125, 134]}]"
Spectrum_Stone,"Direct importer and fabricator of #naturalstone for #kitchens, #baths, #fireplaces and more serving #Lynchburg, #Roanoke and #Charlottesville, #Virginia","Lynchburg, Virginia",1132,286,2727,2013-05-06 17:30:40,2020-07-15 23:14:58,0,Want to make some changes around the house? Make sure consider the color of the year in your design: https://t.co/1CjTvsGBS1 . . . #house #home #roanoke #lynchburg #charlottesville #centralvirginia #centralva #design #decor #marble #quartz #cambria #granite,"[{'text': 'house', 'indices': [131, 137]}, {'text': 'home', 'indices': [138, 143]}, {'text': 'roanoke', 'indices': [144, 152]}, {'text': 'lynchburg', 'indices': [153, 163]}, {'text': 'charlottesville', 'indices': [164, 180]}, {'text': 'centralvirginia', 'indices': [181, 197]}, {'text': 'centralva', 'indices': [198, 208]}, {'text': 'design', 'indices': [209, 216]}, {'text': 'decor', 'indices': [217, 223]}, {'text': 'marble', 'indices': [224, 231]}, {'text': 'quartz', 'indices': [232, 239]}, {'text': 'cambria', 'indices': [240, 248]}, {'text': 'granite', 'indices': [249, 257]}]"
GofaoneRam,This time let's choose kindness 💛,"Ottawa, Ontario",133,53,776,2018-10-10 22:55:57,2020-07-15 23:06:20,23645,"If you've wondered what you would've done during slavery, the Holocaust, or Civil Rights movement...you're doing it now. #Charlottesville",[]
Jesssica_Rabbit,"#NoWarOnIran #FreePalestine ❤🇵🇸 🇪🇬🧕 #BDS #DefendAfrin #BlackLivesMatter #ProChoice #NotMyPresident #TheResistance #Muslim #Anti-Racist #AntiFascist 
↙️↙️↙️","Portland, Oregon",1849,1228,22622,2008-10-24 02:32:15,2020-07-15 21:58:13,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
FiMurf,"Fi | Gay and warlike, obscure and terrible. | “A hot, Jewish minx”",,107,153,2320,2013-09-11 06:43:38,2020-07-15 21:49:42,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
BasedRunnerMan,,"Virginia, USA",112,36,1259,2018-02-10 14:16:44,2020-07-15 21:48:16,3,#BREAKING: @NTSB Final Report on August 2017 crash of @VSPPIO helicopter after monitoring Unite the Right rally in #Charlottesville finds causes of “pilot's loss of helicopter control after entry into vortex ring state” &amp; “lack of recent and recurrent training” in vr ring state https://t.co/30Ooc1HvUe,"[{'text': 'BREAKING', 'indices': [17, 26]}]"
tmj_VAH_retail,"Follow this account for geo-targeted Retail job tweets in Harrisonburg, VA. Need help? Tweet us at @CareerArc!","Harrisonburg, VA",119,188,877,2011-08-23 21:01:52,2020-07-15 21:25:49,0,"If you're looking for work in #Charlottesville, VA, check out this #Retail job via the link in our bio: barista - Store# 07828, RIVANNA RIDGE at Starbucks","[{'text': 'Charlottesville', 'indices': [30, 46]}, {'text': 'Retail', 'indices': [67, 74]}]"
StrangeQuestion,Official Q&A tweets from http://t.co/W8JhMrQ9gR.  Just ask!,"Detroit, Chicago, Los Angeles",558,203,3257,2009-11-18 17:03:31,2020-07-15 21:11:39,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
CvilleDems,We are the Charlottesville Democratic Party.,"Charlottesville, VA",329,916,21623,2010-01-25 23:08:15,2020-07-15 21:10:36,3,#BREAKING: @NTSB Final Report on August 2017 crash of @VSPPIO helicopter after monitoring Unite the Right rally in #Charlottesville finds causes of “pilot's loss of helicopter control after entry into vortex ring state” &amp; “lack of recent and recurrent training” in vr ring state https://t.co/30Ooc1HvUe,"[{'text': 'BREAKING', 'indices': [17, 26]}]"
NBC29,"Breaking news and top stories from the #NBC29 Newsroom, a 2019 regional Edward R. Murrow award winner in multimedia.","Charlottesville, Va",978,66871,146627,2008-06-04 19:18:08,2020-07-15 21:10:35,3,#BREAKING: @NTSB Final Report on August 2017 crash of @VSPPIO helicopter after monitoring Unite the Right rally in #Charlottesville finds causes of “pilot's loss of helicopter control after entry into vortex ring state” &amp; “lack of recent and recurrent training” in vr ring state https://t.co/30Ooc1HvUe,"[{'text': 'BREAKING', 'indices': [17, 26]}]"
tmj_VAC_health,"Follow this account for geo-targeted Healthcare job tweets in Charlottesville, VA. Need help? Tweet us at @CareerArc!","Charlottesville, VA",190,265,666,2010-03-07 03:28:08,2020-07-15 21:06:47,0,"Want to work at CVS Health? We're hiring in #Charlottesville, VA! Click the link in our bio for details on this job and more: Pharmacy Technician #Healthcare","[{'text': 'Charlottesville', 'indices': [44, 60]}, {'text': 'Healthcare', 'indices': [146, 157]}]"
Mover2100,"Is it fascism yet?☝️👁👽👑The One Eyed Alien is King in the land of the blind😆🐀If it's free, I'm not stealing it🐀😆
* ANITA HILL for Vice President! *",white guy on the left coast,1550,237,23689,2011-02-26 22:18:19,2020-07-15 21:06:10,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
_justmarley,,,278,100,240,2018-07-30 23:54:53,2020-07-15 21:05:06,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
xX_MissEna_Xx,Educator | Researcher | Writer | Pardon me if it gets chaotic. #CalltoAction45 of TRC. Live on Treaty 6 lands in the Canadalands.,Edmonton,1843,809,10613,2015-10-03 19:25:32,2020-07-15 21:01:44,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
MattTalhelm,"Emmy-nominated, AP Award-Winning Sunrise & Noon Anchor/Reporter at @NBC29, @Mizzou Alum (Go Tigers!) - Love Meeting People & Telling Great Stories.","Charlottesville, VA",1153,3570,1142,2011-04-27 13:32:26,2020-07-15 21:01:22,3,#BREAKING: @NTSB Final Report on August 2017 crash of @VSPPIO helicopter after monitoring Unite the Right rally in #Charlottesville finds causes of “pilot's loss of helicopter control after entry into vortex ring state” &amp; “lack of recent and recurrent training” in vr ring state https://t.co/30Ooc1HvUe,"[{'text': 'BREAKING', 'indices': [0, 9]}, {'text': 'Charlottesville', 'indices': [115, 131]}]"
fakedeep666,previously a cringe account now dedicated to liberation more than ever all rts are endorsements jk that’s just a little more xringe for ya  ; ),,293,118,3158,2019-11-02 22:08:31,2020-07-15 20:58:28,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
AmySeeksTruth,"BELIEVE THE SCIENCE! Free Press Saves Lives, Equality, Compassion, Education, Democracy requires vigilance. Cartoons on Instagram #NeverAgain🕎","Connecticut, USA",1882,870,121133,2015-05-21 19:51:17,2020-07-15 20:58:21,0,"@WesleyLowery It’s blood curdling - every cell in my body when into generational trauma on #Charlottesville days - I snapped- the Nazis are back, and here, and calling for our destruction, again. 🤦🏻‍♀️😳","[{'text': 'Charlottesville', 'indices': [91, 107]}]"
AbsurdistTravis,"Blatantly left middle management idiot. He/him. My views are just my own.

I am not funny, I just think I am on the internet.

#BlackLivesMatter",,433,50,6015,2012-12-01 08:41:30,2020-07-15 20:58:20,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
PeachDelphine,"Cook, animal person, poetry, Duke Ellington, she, her, 🦋🐚🦊🏳️‍🌈🐬🌺🏝",near Tampa,2865,1459,29377,2019-07-15 00:29:23,2020-07-15 20:57:19,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
tmj_VAC_sales,"Follow this account for geo-targeted Sales job tweets in Charlottesville, VA. Need help? Tweet us at @CareerArc!","Charlottesville, VA",251,323,635,2010-11-28 06:15:17,2020-07-15 20:55:25,0,"We're hiring! Read about our latest job opening here: Retail Sales Consultant - https://t.co/9XnKvWHhSb #Sales #Charlottesville, VA","[{'text': 'Sales', 'indices': [104, 110]}, {'text': 'Charlottesville', 'indices': [111, 127]}]"
shardsambit,"trans dyke |. 📷  |. antifascist |. local crow |. 
city-bound tree-hugger |. Ⓐ☭🌹⛧
https://t.co/SkCctOtgF3",L.A.   ,984,1101,69159,2010-11-13 01:56:33,2020-07-15 20:53:14,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
queeerasfolk,they/them/theirs,,268,198,951,2020-02-22 20:02:44,2020-07-15 20:53:05,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
passioneitguy,they/them lesbo hillbilly whom also is autistic and works with computer,,338,69,7387,2020-03-29 12:33:03,2020-07-15 20:52:21,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
shrugdeaIer,• Weird • Dog Lady • She/Her • Working Class • Anarchist • Accomplice • Vegan • Watch #Uyghur • Смотреть Среднюю Азию • RTs = I liked/hated what you said •,,637,1116,44801,2014-12-06 02:59:51,2020-07-15 20:51:46,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
RoseCityAntifa,"Email: fight_them_back@riseup.net

Voicemail: 971.533.7832.

https://t.co/lwOrl4ZMjr

8F5E BC4E D035 D8B3 1930 C978 DCDB C13B 214E 8333",Rose City,655,33937,9129,2011-04-11 22:42:11,2020-07-15 20:51:32,211,Burning tiki torches were left on the front yards of several anti-racist organizers in #Charlottesville as the anniversary of Unite the Right looms. https://t.co/V9gmxCOrDy,"[{'text': 'Charlottesville', 'indices': [101, 117]}]"
ladyaiam,"A daughter, a sister, a lady, a friend, a mother, a woman, am I 'til life's end. One more thing I must confess: I turn my back on trolls & BS #Ω #STEM No Lists!",,2141,1288,21158,2011-01-29 04:46:57,2020-07-15 20:13:35,0,Trump's lowest job approval since #Charlottesville https://t.co/gxuboyqV0T,"[{'text': 'Charlottesville', 'indices': [34, 50]}]"
JoshFitzWx,"Meteorologist @NBC29, @CW29 & local @WeatherNation. Winner of Best of C-Ville & Daily Progress TV Personality! Previously @WSAZNews and @WOAYNewsWatch.","Charlottesville, Virginia",111,7557,48316,2011-03-22 16:37:40,2020-07-15 20:02:31,0,"Day 20 in a row now of 90+ degree heat for #Charlottesville (at CHO)!  21 days in a row is the record set in late July, early August 2016. Might as well break it at this point, right? #HeatWave #NBC29 #VAwx https://t.co/jIMbTuhGfB","[{'text': 'Charlottesville', 'indices': [43, 59]}, {'text': 'HeatWave', 'indices': [184, 193]}, {'text': 'NBC29', 'indices': [194, 200]}, {'text': 'VAwx', 'indices': [201, 206]}]"
hannahschollwx,"Weekend Meteorologist for @CBS19News ⛈ | @CBS19Weather ☀️ | B.S. Meteorology, University of Oklahoma☝🏼❤️| Maryland Born & Raised 🦀","Charlottesville, VA",196,329,145,2019-01-08 16:35:56,2020-07-15 20:02:08,0,Hey C’ville! I’m looking for great vegetarian eats around town. Send me your recs! #charlottesville,"[{'text': 'charlottesville', 'indices': [83, 99]}]"
